Point,Y,X,Status,Description,Date
1425A,97579.755,2247742.222,P,12mm iron peg in concrete,11/11/2020
1425C,97584.74,2247761.453,P,12mm iron peg in concrete,4/1/2026
1425D,97589.615,2247758.501,P,12mm iron peg in concrete,11/11/2020
1425E,97590.971,2247753.021,P,12mm iron peg in concrete,11/11/2020
1425F,97585.297,2247743.595,P,12mm iron peg in concrete,11/11/2020
1438A,97373.29,2247864.361,P,12mm iron peg in concrete,11/10/2020
1438B,97363.908,2247869.928,P,12mm iron peg in concrete,11/10/2020
1438C,97362.138,2247874.974,P,12mm iron peg in concrete,11/10/2020
1439A,97384.413,2247857.586,P,12mm iron peg in concrete,11/10/2020
1440A,97395.482,2247850.735,P,12mm iron peg in concrete,11/10/2020
1441A,97406.679,2247844.14,P,12mm iron peg in concrete,11/10/2020
1442A,97417.872,2247837.544,P,12mm iron peg in concrete,11/10/2020
1443A,97429.063,2247830.905,P,12mm iron peg in concrete,11/10/2020
1444A,97440.29,2247824.317,P,12mm iron peg in concrete,11/10/2020
1445A,97451.508,2247817.729,P,12mm iron peg in concrete,11/10/2020
1446A,97462.673,2247811.151,P,12mm iron peg in concrete,11/10/2020
1447A,97471.513,2247805.947,P,12mm iron peg in concrete,11/10/2020
1447E,97476.983,2247807.375,P,12mm iron peg in concrete,11/10/2020
1448A,97487.336,2247824.759,P,12mm iron peg in concrete,11/10/2020
1448C,97487.024,2247853.004,P,12mm iron peg in concrete,11/10/2020
1448D,97496.246,2247847.409,P,12mm iron peg in concrete,11/10/2020
1448E,97497.588,2247841.909,P,12mm iron peg in concrete,11/10/2020
1449A,97474.891,2247832.179,P,12mm iron peg in concrete,11/10/2020
1449C,97475.863,2247859.739,P,12mm iron peg in concrete,11/10/2020
1450A,97463.673,2247838.751,P,12mm iron peg in concrete,11/10/2020
1450C,97464.735,2247866.498,P,12mm iron peg in concrete,11/10/2020
1451A,97452.598,2247845.486,P,12mm iron peg in concrete,11/10/2020
1451C,97453.618,2247873.235,P,12mm iron peg in concrete,11/10/2020
1452A,97441.42,2247852.128,P,12mm iron peg in concrete,11/10/2020
1452C,97442.508,2247879.964,P,12mm iron peg in concrete,11/10/2020
1453A,97430.219,2247858.727,P,12mm iron peg in concrete,11/10/2020
1453C,97431.395,2247886.669,P,12mm iron peg in concrete,11/10/2020
1454A,97419.095,2247865.518,P,12mm iron peg in concrete,11/10/2020
1454C,97420.259,2247893.43,P,12mm iron peg in concrete,11/10/2020
1455A,97407.872,2247872.061,P,12mm iron peg in concrete,11/10/2020
1455C,97409.128,2247900.133,P,12mm iron peg in concrete,11/10/2020
1456A,97396.767,2247878.832,P,12mm iron peg in concrete,11/10/2020
1456C,97398.019,2247906.902,P,12mm iron peg in concrete,11/10/2020
1457A,97385.592,2247885.51,P,12mm iron peg in concrete,11/10/2020
1457B,97372.707,2247893.212,P,12mm iron peg in concrete,11/10/2020
1457C,97379.772,2247908.451,P,12mm iron peg in concrete,11/10/2020
1457D,97387.224,2247911.048,P,12mm iron peg in concrete,11/10/2020
1458A,97506.814,2247785.202,P,12mm iron peg in concrete,11/10/2020
1458Cn,97510.351,2247806.487,P,12mm iron peg in concrete,4/1/2026
1459A,97511.54,2247782.389,P,12mm iron peg in concrete,11/11/2020
1459C,97517.072,2247802.403,P,12mm iron peg in concrete,11/11/2020
1460A,97516.288,2247779.593,P,12mm iron peg in concrete,11/11/2020
1460C,97521.899,2247799.499,P,12mm iron peg in concrete,11/11/2020
1461A,97525.027,2247774.47,P,12mm iron peg in concrete,11/11/2020
1461C,97526.611,2247796.663,P,12mm iron peg in concrete,11/11/2020
1462A,97538.327,2247766.618,P,12mm iron peg in concrete,11/11/2020
1462C,97535.092,2247791.522,P,12mm iron peg in concrete,11/11/2020
1463A,97552.013,2247758.587,P,12mm iron peg in concrete,11/11/2020
1463C,97548.272,2247783.541,P,12mm iron peg in concrete,11/11/2020
1464An,97574.852,2247745.116,P,12mm iron peg in concrete,4/1/2026
1464C,97562.064,2247775.208,P,12mm iron peg in concrete,11/11/2020
1465A,97593.773,2247765.354,P,12mm iron peg in concrete,11/11/2020
1465C,97599.712,2247784.771,P,12mm iron peg in concrete,11/11/2020
1465D,97603.963,2247782.189,P,12mm iron peg in concrete,11/11/2020
1465E,97605.313,2247776.711,P,12mm iron peg in concrete,11/11/2020
1465F,97599.252,2247766.708,P,12mm iron peg in concrete,11/11/2020
