POINT,Y,X,F_P,DESCRIPTION
419/S,33332.88,1860173,,KAPIRO
521/V,31440.52,1868990,,OCP
525/V,24189.2,1867327,,OCP
ST1,25426.06,1869672,F,12mm iron peg and 35mm iron pipe in masonry cairn
ST2,25794.8,1869640,F,12mm iron peg and 35mm iron pipe in masonry cairn
ST3,27323.59,1870289,F,12mm iron peg and 35mm iron pipe in masonry cairn
ST4,28165.99,1868268,F,Hole in rock and 35mm iron pipe in masonry cairn
T1,26662.1,1865472,P,12mm iron peg
V,24612.24,1865446,F,Hole in rock and 35mm iron pipe in masonry cairn
W,28348.49,1864795,F,12mm iron peg and 35mm iron pipe in masonry cairn
Y,25940.89,1864281,F,Hole in rock and 35mm iron pipe in masonry cairn
1a,26759.02,1864456,P,12mm iron peg and cairn
1e,26504.82,1867093,P,12mm iron peg and cairn
2a,26424.08,1864880,P,12mm iron peg and cairn
2b,26068.45,1864863,P,12mm iron peg and cairn
3a,27167.43,1864543,P,12mm iron peg and cairn
3b,27531.11,1864826,P,12mm iron peg and cairn
3c,27530.44,1865016,P,12mm iron peg and cairn
3e,27396.73,1865236,P,12mm iron peg and cairn
