Quotation for Title survey of 384 stands at Bridgewood (Circular No. 1 of 2020),,384,,
,,,,
PART I (Basic Charge),,,,
,,,,
Initial Charge for 384 units (see sheet 2),"$9,650.00",,,
Per Lot Charge (see sheet 2),"$48,000.00",,,
Charge for existing Building,$0.00,,"$63,037.16",
,,,,
,,,,
PART II (Reimbursables),,,,
A. Charge for 30 beacons @ $18/beacon,"$1,152.00",,,
,,,,
B. Basic Charge for General Plan,$0.00,,,
Charge for 16384lots @ $10.00 per lot,"$3,840.00",,,
Dispensation Certificate $1.00 per lot,$384.00,,,
,,,,
C. Travelling to and from Gweru to Site (Headlands) : 200 km @ $ $0.50/km,$100.00,,19.2,
Local Mileage 20km (10km per day for 20 days) @$0.50 /km,$100.00,,,
,,,,
Subsistence for One surveyor and Two assistants for 2 days @ $60/person/day,$0.00,,,
Travelling time 8 hours @ $15/hr,$60.00,,"$5,636.00",
,,,,
PART III (Professional Work),,,,
"Calculations, Pointing out beacons, Supervising clearing, 3 hours @ $12.50/quarter hour","$1,500.00",,,
,,,,
,,,,
Sub-Total,"$64,786.00",,,
,,,,
Contingency Fee @ 6%,"$3,887.16",,,
,,,,
Sub-Total,"$68,673.16",,,
,,,,
VAT @15%,"$10,300.97",,,
,,,,
Sub-Total,"$78,974.13",,,
,,,,
Surveyor General's Examination Fees (Sheet 2),"$5,760.00",,,
,,,,
Grand Total,"$84,734.13",,,
,,,,
Say ,$221.00, per Stand,,
